([-3, 3, -2, -2, 1, -1, -2, 2, 3, 0, 1, 0, 1, -1, -2, 3, 1, 3, 3, -2, 0, 1, -2, 2, 0, 0, -3, 1, 0, 2, -3, 0, 3, 1, 1, 0, 1, -2, -3, 3, -3, 2, 1, 0, -1, -1, 1, -2, -2, -3, 3, -1, -3, 0, 1, 0, -1, -2, -2, 0, 2, 3, 2, 0, -2, -3, 1, 0, 0, 1, -3, 0, -1, -1, 0, -1, 2, 1, 0, 2, 0, 0, 2, -3, -3, 3, -2, 3, 0, -2, 3, -1, 1, -3, 2, 3, 0, 1, 1, -2, 1, 2, -3, 3, 2, 0, -1, 0, -3, 0, 2, 3, -2, -1, 3, -3, 0, 2, -1, 0, 3, -1, 2, 2, -2, -2, 1, 2, 0, -3, -2, -3, 3, -3, 3, 2, 0, -1, 2, 0, -1, -1, -2, 0, 1, -3, 1, 1, 0, -2, 0, -1, 1, 2, 2, 0, -1, -1, 3, 1, 1, 2, -3, 2, -2, 3, 0, 3, -1, 0, -1, 2, 0, 3, 1, -1, 0, 0, 0, 3], 0.24608038433722332)
([-1, -1, 2, 0, -1, -2, 1, -2, 2, 2, -2, -2, 2, -3, 0, 1, 3, 0, 2, -3, 0, 3, -2, 1, -2, 2, 1, 1, 2, 0, 2, 3, -2, -3, 3, 0, -1, -3, 2, 1, 2, -2, -3, 3, 0, -1, 3, 3, -3, 3, 3, -1, 3, 2, 0, -1, 0, 3, 2, 3, -3, 1, 3, -2, -2, -2, 1, 2, 1, 1, -1, 3, 3, 0, 3, 1, 3, 0, -1, 2, 1, -1, 2, 2, -3, 1, -2, 3, 2, 0, 3, -1, 0, 1, 3, 2, 3, -1, -1, 0, 1, -1, -1, -3, -1, 0, -1, 0, -1, 0, -2, -1, 2, 0, 2, 3, 1, 2, -3, 2, 1, 0, -1, -1, 1, 2, -1, -3, 2, 0, 2, 0, -2, -2, 3, -3, -2, 3, 3, 1, 2, 0, 1, 2, 2, -3, 0, -2, -2, 3, -3, 3, 3, 0, -2, 1, -1, 0, -2, -3, 3, -2, -2, -1, 2, -1, -1, 3, 2, -2, 1, -3, 2, 1, 0, 1, 1, -3, 0, -1], 0.27622454633866267)
([-3, 1, -1, 0, -1, 1, 0, 3, 0, 2, -1, 3, -2, -1, -1, 0, -2, 0, 2, -3, 1, 2, 3, 1, 2, -3, -1, 1, 3, -2, -3, 3, 2, 0, 1, -2, -1, -1, 2, -3, -2, -2, -3, 3, -2, -1, 3, 1, -2, 1, -2, 1, 0, -1, 2, -1, -1, 0, 2, -2, 2, 2, 3, 0, -2, -3, -3, 0, -1, -3, -1, 2, 0, -2, 0, 0, -2, 3, -1, -2, 2, -3, 0, 2, 3, -2, -2, 1, -2, -1, 1, 3, 3, 3, -3, -3, 1, 1, -1, -2, 3, 0, 0, 2, 0, -1, -3, 0, 3, 3, -2, -1, -1, 1, -3, -2, -1, 0, -1, -3, -2, -3, 1, -2, 1, -1, -1, 1, -3, -2, 3, 2, -1, 0, -2, -1, -3, 1, 3, -2, -2, -1, 1, 0, 1, -3, -2, -2, -1, 3, -1, -3, -3, 2, 0, 2, 2, -1, 0, -3, 1, 1, 3, 2, 1, -2, 1, 1, 3, 0, 2, -3, 1, 0, -1, -2, 3, -3, 0, 3], 0.29816103031751146)
([1, 1, -1, -1, -3, -2, -3, -2, 1, -2, 3, 2, 1, 2, 1, 3, -3, -3, -1, 3, 0, 2, 1, 3, -2, -2, 2, 0, 0, 3, 1, 0, 3, 2, -2, -1, -1, 0, 2, -3, 3, -3, -1, 0, 2, 2, -2, 3, 0, -1, 2, 0, 3, -2, -1, 1, 2, 0, 0, 1, -1, 0, -2, -2, 1, 0, 0, 1, -2, 0, 3, -1, -1, 3, -3, 2, -3, -3, -3, -1, -1, -2, -3, 0, 1, 2, 3, -1, -3, 3, 2, -2, 3, 3, -1, 1, 1, -3, 2, 2, 0, -1, 1, 0, -3, -3, -3, 3, -2, -2, 0, 1, -2, 3, 0, 0, 1, 3, -1, -3, -1, 2, -2, 3, 3, -3, -2, -2, -1, 0, -1, -2, 0, 3, -3, -3, -2, -3, 2, 3, 1, -1, -3, 1, -2, -2, 2, 3, -2, -2, 3, -3, -1, -3, 1, -2, -3, -1, 0, -2, -3, -1, -2, 1, 3, 3, 0, 1, -3, 2, 0, 3, 2, -1, 3, 0, 0, 0, 2, 2], 0.1971181258929669)
([-1, 3, 2, 0, 2, 2, 3, 0, 0, -2, -2, 0, -1, -2, 2, -2, -2, 3, 0, 2, 2, 2, 3, 3, 1, -3, -1, 0, 0, 2, -3, -3, 2, 2, 2, -3, -2, -1, 1, -1, 3, 2, -2, 2, -1, -2, 3, 0, 2, 1, 0, -2, 1, 3, 1, 1, -2, 3, 2, 3, -3, -2, -3, -3, 0, -1, -2, 1, -1, -2, -3, 0, 1, 3, 1, -2, 2, -1, 2, 2, 1, 2, -1, 3, 0, 0, 2, -1, -3, 3, 1, 1, -1, -3, 0, 1, 1, -1, 3, -2, -1, 3, -3, -3, -3, -2, 0, 1, -3, -2, -2, -1, 2, 0, -3, -1, 2, 0, 1, 2, 3, 2, -3, -2, 1, -3, -3, -3, 3, -3, 3, 2, 0, -1, -1, -1, -3, 2, 2, -3, 0, 1, 0, 2, 1, -3, 1, 2, -2, -2, 1, 2, 3, 1, 1, 2, -3, -2, 2, -1, -1, -2, 1, 2, 3, 0, -2, 0, 0, 3, 3, 2, -3, 2, 1, 2, -3, -1, 1, -3], 0.3348963355361709)
([-3, 0, 1, 3, -3, -2, 2, 2, 2, 2, 1, 2, 0, 1, -2, -1, -3, 2, -2, 2, 0, 0, 0, 3, 3, -1, 0, 0, 2, -2, -1, -1, 0, 0, 1, 1, 3, -3, -2, 0, 3, -2, 0, -2, 1, -3, 2, 1, 1, 2, 3, -2, 0, -3, 2, 2, -1, -3, 1, 2, 3, 1, -3, -3, 1, 1, 0, -2, -2, 2, 1, -2, 0, 1, -1, 3, 1, 0, -3, -2, 3, 3, 0, 2, 2, 0, 1, -3, 1, -1, 3, 1, 2, 0, -2, -3, 0, 1, 0, -1, 1, 0, -2, 2, 0, -2, 0, 0, 3, -3, 0, 1, 0, -1, 0, -1, -2, 3, 0, -2, -3, 2, -1, -2, 3, 0, -3, 3, 3, 0, -1, 0, -3, 1, -2, 3, 2, 0, -2, -2, 3, 3, 1, 3, 1, -2, 1, 3, 0, 1, 2, 0, 3, 0, 1, 2, 0, 1, 2, -2, -1, 0, -2, -1, 1, -3, 0, 1, 3, 1, 3, 1, -1, -3, 1, 2, -1, 1, 3, 1], 0.29860788111948194)
([-1, -1, 2, 0, -1, -2, 1, -2, 2, 2, -2, -2, 2, -3, 0, 1, 3, 0, 2, -3, 0, 3, -2, 1, -2, 2, 1, 1, 2, 0, 2, 3, -2, -3, 3, 0, -1, -3, 2, 1, 2, -2, -3, 3, 0, -1, 3, 3, -3, 3, 3, -1, 3, 2, 0, -1, 0, 3, 2, 3, -3, 1, 3, -2, -2, -2, 1, 2, 1, 1, -1, 3, 3, 0, 3, 1, 3, 0, -1, 2, 1, -1, 2, 2, -3, 1, -2, 3, 2, 0, 3, -1, 0, 1, 3, 2, 3, -1, -1, 0, 1, -1, -1, -3, -1, 0, -1, 0, -1, 0, -2, -1, 2, 0, 2, 3, 1, 2, -3, 2, 1, 0, -1, -1, 1, 2, -1, -3, 2, 0, 2, 0, -2, -2, 3, -3, -2, 3, 3, 1, 2, 0, 1, 2, 2, -3, 0, -2, -2, 3, -3, 3, 3, 0, -2, 1, -1, 0, -2, -3, 3, -2, -2, -1, 2, -1, -1, 3, 2, -2, 1, -3, 2, 1, 0, 1, 1, -3, 0, -1], 0.27622454633866267)
([-1, 0, -2, 3, -2, -3, -2, 3, 3, 3, 0, 1, -1, 1, -1, 0, 1, 3, -2, -3, 3, 3, -2, 2, 1, 2, 2, -2, 2, 1, 3, -2, -3, -2, 1, -2, 2, -1, -3, -1, 1, 2, -1, 0, -2, -1, 2, -3, 2, 2, 3, 2, 0, 2, 0, -2, -3, -3, 2, 0, 3, 2, 3, -1, 0, 0, 0, 0, 0, 2, 2, 0, -2, -3, -3, -1, 3, -2, 0, -2, 1, 2, 1, 0, 2, -2, 1, 3, 1, -1, -3, 0, 2, 2, -2, 1, 1, -2, -3, 0, -3, -2, 2, -1, 3, -2, 2, -1, 0, 2, 2, -2, -2, 2, 2, -1, -1, 2, -2, -1, 2, 1, -3, 1, 0, 2, -2, 2, -2, 3, -3, -3, 2, 2, -3, 0, 2, 3, 0, 1, -3, -1, -2, 0, -3, -1, -2, 1, 2, 1, -3, 2, -1, -1, -1, 2, -3, 2, -3, 1, -3, 0, 3, -2, 3, -2, -2, 0, -1, -3, 2, -1, 1, 0, 2, 3, -1, -3, 1, -2], 0.40805773012051993)
([-1, 2, -3, 0, 1, -2, 2, 1, -2, 2, 2, 3, 1, -2, 3, 3, -3, 1, -2, 2, 0, 0, 1, 3, 3, 0, 3, 2, -1, -3, -3, -3, -2, 3, 2, 3, 2, 0, 2, -3, -1, 0, 0, 3, 1, 0, 1, -2, 0, -1, -1, 2, 2, 0, -3, -2, 3, 2, 3, 0, -1, 3, 3, -3, 3, -1, -2, 2, 2, 1, -1, -2, 0, -3, 0, 1, -1, 0, -3, -1, -1, -3, -3, 0, 3, 1, 2, 2, -1, -1, 3, -3, -3, 2, -3, 0, -1, -2, 1, 2, -3, -1, 2, 1, 0, 0, 2, -1, 0, 3, -2, 1, 2, -1, 0, -3, 2, -1, 3, -1, 3, -1, 3, 2, 3, 2, -3, -1, -3, -3, 3, 2, 0, 1, -2, -3, -1, -1, 2, -2, -1, 1, 3, -1, -3, 3, -2, -3, 1, 1, 0, -3, 3, 0, -3, 3, -1, 2, 2, -1, 0, -3, 3, 1, -3, 3, 1, 0, 2, -2, 0, 0, -1, 1, 1, 2, -2, -1, -3, 2], 0.2056426242024958)
([2, 2, 2, -2, 2, -2, 0, 3, 3, 2, 1, -1, -2, -1, 3, -3, 3, -1, -3, 0, 3, 2, 0, 1, -3, 0, -3, -3, 3, -2, 0, -3, -3, 2, -1, -3, 3, -1, 1, 1, 3, -2, 2, -2, -2, -3, 1, 3, -1, -1, -1, 0, -3, 1, -2, -1, 0, 0, -1, -3, 2, 3, 2, 3, -3, -1, 1, 0, 2, 0, -2, -1, -3, 1, 0, -3, -2, -1, 0, 3, -2, 2, 2, -2, -1, -2, 1, 3, -2, 2, 3, 2, 0, 2, 1, 1, 2, 0, -3, 0, 2, 3, -3, -2, 2, 3, -2, 0, 3, -2, 2, -1, -2, 3, -3, 3, -1, -2, -1, -1, -1, -1, 1, -2, 3, -3, 1, 2, 1, 0, -3, 0, 2, 3, -2, 1, -2, 3, 3, 1, 2, 2, -2, -3, 3, -1, -3, -3, 1, -2, -1, 1, 3, 2, -2, 1, 1, 0, 2, -3, 2, 1, 2, -2, 3, 1, -1, -2, 3, 1, 3, 3, 1, -2, -3, -1, -1, 2, 0, -3], 0.20602049520483257)
([2, -1, 3, -3, -3, -2, 3, 2, -2, 1, 2, 3, -1, 1, -1, 2, 2, -3, 3, 1, 3, 3, -1, -1, 0, -3, 0, 3, 3, 3, 2, 3, -2, -2, 1, -1, 0, 1, 0, -2, -1, -3, 0, 3, 0, 3, -1, -2, -3, -3, 3, 1, -2, 0, -3, 2, 2, 3, 2, 2, 0, 3, 3, -2, 3, 1, -2, 0, 3, -1, -2, 0, -2, -2, -3, 1, -3, 0, 0, 0, 0, -3, -2, 3, -2, 0, 1, 2, 0, 2, 3, 3, 0, -3, -1, 3, 1, 3, 3, 3, 0, 0, -2, 3, -2, -3, -2, 2, -2, -1, -2, 1, 2, 1, -1, 1, -3, 1, -3, -2, -1, -2, -2, 0, 0, 3, -1, -3, 1, -1, 3, 0, 1, -2, 3, 1, -3, -3, 0, -1, -3, -1, 0, 1, 1, 2, 0, 0, -3, -1, 3, 2, 3, -3, 2, 2, 0, -3, -2, 1, -3, -3, 3, 0, -1, 0, 1, -1, -3, 0, 3, 0, 2, -3, 1, 0, 1, -1, -1, 0], 0.29287843515318396)
