Exp1_Hunter_Aggro; Hunter; Aggro;Fen Creeper*Earthen Ring Farseer*Earthen Ring Farseer*River Crocolisk*Kobold Geomancer*Southsea Deckhand*Stormpike Commando*Murloc Raider*Razorfen Hunter*Reckless Rocketeer*Wisp*Timber Wolf*Tundra Rhino*Young Priestess*Worgen Infiltrator*Silvermoon Guardian*Leper Gnome*Dark Iron Dwarf*Pint-Sized Summoner*Arcane Golem*Defender of Argus*Abomination*Eaglehorn Bow*Unleash the Hounds*Snake Trap*Priestess of Elune*Nightblade*Hungry Crab*Animal Companion*Animal Companion;
Exp1_Hunter_Control; Hunter; Control;Earthen Ring Farseer*Ironforge Rifleman*Stormpike Commando*Bloodfen Raptor*Sen'jin Shieldmasta*Booty Bay Bodyguard*Venture Co. Mercenary*Lightwarden*Young Priestess*Worgen Infiltrator*Voodoo Doctor*Sunwalker*Argent Commander*Pint-Sized Summoner*Pint-Sized Summoner*Lorewalker Cho*Demolisher*Dire Wolf Alpha*Scavenging Hyena*King Krush*Onyxia*Priestess of Elune*Bloodsail Raider*Knife Juggler*Knife Juggler*Wild Pyromancer*Bloodsail Corsair*Master Swordsmith*Flesheating Ghoul*Flesheating Ghoul;
Exp2_Hunter_Aggro; Hunter; Aggro;Earthen Ring Farseer*River Crocolisk*Wolfrider*Archmage*Ravenholdt Assassin*Bluegill Warrior*Bluegill Warrior*Injured Blademaster*Elven Archer*Core Hound*Reckless Rocketeer*Wisp*Lightwarden*The Black Knight*Worgen Infiltrator*Mountain Giant*Leeroy Jenkins*Murloc Tidehunter*Murloc Tidecaller*Scavenging Hyena*Explosive Shot*Kill Command*Ysera*Hungry Crab*Hungry Crab*Knife Juggler*Wild Pyromancer*Doomsayer*Animal Companion*Animal Companion;
Exp2_Hunter_Control; Hunter; Control;Fen Creeper*Magma Rager*River Crocolisk*Frostwolf Grunt*Raid Leader*Silver Hand Knight*Murloc Raider*Young Dragonhawk*Stonetusk Boar*Sen'jin Shieldmasta*Young Priestess*Young Priestess*Argent Squire*Voodoo Doctor*King Mukla*Novice Engineer*Jungle Panther*Shattered Sun Cleric*Shattered Sun Cleric*Thrallmar Farseer*Dragonling Mechanic*Amani Berserker*Eaglehorn Bow*Nat Pagle*Imp Master*Imp Master*Faerie Dragon*Millhouse Manastorm*Deathwing*Animal Companion;
